review_scores_value,accommodates,bathrooms,bedrooms,beds,cancellation_policy,id,host_is_superhost,extra_people,property_type,room_type,price,neighbourhood_cleansed
10.0,4,1.0,1.0,3.0,strict,5919096,1.0,0.0,Apartment,Entire home/apt,129.0,Adams
,2,1.0,1.0,1.0,strict,6516529,0.0,0.0,Apartment,Entire home/apt,100.0,Adams
9.0,4,2.0,2.0,2.0,moderate,3294243,1.0,0.0,Apartment,Entire home/apt,150.0,Adams
,1,1.0,1.0,1.0,flexible,10210971,0.0,20.0,Townhouse,Private room,50.0,Adams
,6,1.0,2.0,3.0,moderate,3584790,0.0,0.0,Apartment,Entire home/apt,99.0,Adams
9.0,2,1.5,1.0,1.0,strict,1266459,0.0,50.0,Apartment,Entire home/apt,150.0,Adams
,4,1.0,1.0,3.0,flexible,9098059,0.0,0.0,Bungalow,Entire home/apt,105.0,Adams
,7,4.0,3.0,3.0,strict,408526,0.0,15.0,House,Entire home/apt,218.0,Adams
9.0,5,1.5,2.0,2.0,moderate,4118282,0.0,0.0,House,Entire home/apt,80.0,Adams
9.0,2,1.0,1.0,1.0,moderate,6813483,0.0,25.0,Apartment,Entire home/apt,126.0,Adams
10.0,4,1.0,1.0,2.0,strict,6590264,0.0,50.0,Apartment,Entire home/apt,115.0,Adams
9.0,4,2.0,2.0,2.0,flexible,2650482,0.0,0.0,Apartment,Entire home/apt,225.0,Adams
10.0,2,1.0,1.0,1.0,moderate,20927,1.0,0.0,Cabin,Entire home/apt,89.0,Adams
10.0,8,2.5,3.0,5.0,strict,4395578,0.0,0.0,House,Entire home/apt,225.0,Adams
,1,1.0,0.0,1.0,flexible,4995903,0.0,0.0,House,Entire home/apt,50.0,Adams
10.0,4,1.0,1.0,2.0,strict,5549211,1.0,0.0,Apartment,Entire home/apt,134.0,Adams
9.0,2,1.0,1.0,1.0,moderate,8240758,0.0,0.0,Apartment,Entire home/apt,75.0,Adams
10.0,2,1.0,1.0,1.0,moderate,6856295,0.0,15.0,House,Private room,65.0,Adams
9.0,6,2.5,3.0,4.0,moderate,6881188,0.0,0.0,House,Entire home/apt,375.0,Adams
10.0,3,1.0,1.0,2.0,strict,1579615,1.0,10.0,House,Entire home/apt,97.0,Adams
9.0,2,1.0,1.0,1.0,moderate,3766866,1.0,25.0,Condominium,Entire home/apt,145.0,Adams
10.0,5,1.0,2.0,4.0,strict,2406966,1.0,0.0,Apartment,Entire home/apt,129.0,Adams
8.0,6,1.5,3.0,4.0,strict,4872699,0.0,0.0,House,Entire home/apt,197.0,Adams
10.0,2,1.0,1.0,1.0,moderate,5470629,1.0,20.0,Apartment,Entire home/apt,120.0,Adams
9.0,4,1.0,1.0,1.0,flexible,2950213,1.0,100.0,Apartment,Entire home/apt,200.0,Adams
10.0,5,2.0,2.0,2.0,moderate,9015088,0.0,15.0,Apartment,Entire home/apt,135.0,Adams
10.0,2,1.0,1.0,1.0,moderate,3979496,1.0,0.0,House,Private room,70.0,Adams
9.0,2,1.0,1.0,2.0,flexible,7501919,0.0,0.0,Apartment,Entire home/apt,150.0,Adams
10.0,3,1.0,1.0,1.0,moderate,4732995,0.0,0.0,Apartment,Entire home/apt,200.0,Adams
10.0,2,1.0,1.0,1.0,moderate,7134759,0.0,0.0,Townhouse,Private room,60.0,Adams
10.0,5,3.0,3.0,5.0,strict,4532538,0.0,0.0,House,Entire home/apt,180.0,Adams
10.0,3,1.0,1.0,1.0,moderate,7534398,0.0,15.0,Apartment,Private room,69.0,Adams
10.0,3,1.0,0.0,1.0,flexible,9387189,0.0,15.0,Apartment,Entire home/apt,90.0,Adams
10.0,2,1.0,1.0,1.0,flexible,6337492,0.0,0.0,Apartment,Entire home/apt,80.0,Adams
,2,1.5,1.0,1.0,flexible,10231701,0.0,0.0,Townhouse,Private room,65.0,Adams
9.0,5,1.5,2.0,2.0,moderate,1609922,1.0,10.0,House,Entire home/apt,150.0,Adams
